Name,Address,Phone,Website,Membership Status,Legislation
Hudson Valley Justice Center - Westchester County,"19 Court Street, Suite 305, White Plains, NY 10601",914-308-3490,https://www.hvjc.org/,Campaign Member,"Statewide Right to Counsel,Clean Hands,Defend Right to Counsel,Winter Eviction Moratorium"
Hudson Valley Justice Center - Orange County,"10 Little Britain Road, Suite, Newburgh, NY 12550 202",914-308-3490,https://www.hvjc.org/,Campaign Member,"Statewide Right to Counsel,Clean Hands,Defend Right to Counsel,Winter Eviction Moratorium"
Hudson Valley Justice Center - Yonkers,"30 S Broadway, Suite 701, Yonkers, NY 10701",914-308-3490 ,https://www.hvjc.org/,Campaign Member,"Statewide Right to Counsel,Clean Hands,Defend Right to Counsel,Winter Eviction Moratorium"
Legal Aid Society of Rochester,"One W Main St, Rochester, NY 14614",585-232-4090,https://www.lasroc.org/,Endorser,Statewide Right to Counsel
ProBono Net,"151 W 30th St #6, New York, NY 10001",212-760-2554,https://www.probono.net/,Endorser,Statewide Right to Counsel
Queens Defenders,"118-21 Queens Blvd, Forest Hills, NY 11375",718-261-3047,www.queensdefenders.com,Endorser,Statewide Right to Counsel
"Queens Volunteer Lawyers Project, Inc.","9035 148th St, Jamaica, NY 11435",718-739-4100,https://qcba.org/page-18081,Endorser,Statewide Right to Counsel
Rural Law Center of New York,"22 US Oval unit 101, Plattsburgh, NY 12903",518-561-5460,https://rurallawcenter.org/,Endorser,Statewide Right to Counsel
Volunteers of Legal Service,"40 Worth St Suite 829, New York, NY 10013",212-966-4400,https://volsprobono.org/,Endorser,Statewide Right to Counsel
Western New York Law Center (WNYLC),"37 Franklin St 2nd floor, Buffalo, NY 14202",716-855-0203,https://wnylc.com/,Endorser,Statewide Right to Counsel
JASA/Legal Services for Elder Justice,"247 West 37th Street, New York, NY 10018",212-273-5200 ,https://www.jasa.org/services/legal,Endorser,Statewide Right to Counsel
The Legal Project,"24 Aviation Rd #101, Albany, NY 12205",518-435-1770,https://legalproject.org/,Endorser,Statewide Right to Counsel
Legal Services Staff Association 2320 (LSSA 2320),"350 W 31st St, New York, NY 10001",212-228-0097,https://lssa2320.org/,Endorser,Statewide Right to Counsel
New York Legal Services Coalition,"New York, NY",315-572-0373 ,https://nylscoalition.org/,Endorser,Statewide Right to Counsel
Youth Represent,"11 Park Pl #1512, New York, NY 10007",646-759-8080,https://youthrepresent.org/,Endorser,Statewide Right to Counsel
Prophetic Whirlwind Ministries,"New York, NY",,https://propheticwhirlwind.com/,Supporter,Statewide Right to Counsel
Greater Syracuse Tenants Network,"751 James St, Syracuse, NY 13203",315-475-8092,https://syracusetenant.org/,Supporter,Statewide Right to Counsel
Latino Pastoral Action Center,"14 W 170th St, Bronx, NY 10452",718-681-2361,https://www.facebook.com/lpacnyc/,Supporter,Statewide Right to Counsel
Greater New York Labor Religion Coalition,"85 Chestnut St., Albany, NY 12210",,https://www.laborreligion.org/,Supporter,Statewide Right to Counsel
Messiah Lutheran Church,"205 Jefferson Blvd, Staten Island, NY 10312",718-356-1050,https://www.messiahny.org/,Supporter,Statewide Right to Counsel
Gates Presbyterian Church,"1049 Wegman Rd, Rochester, NY 14624",585-247-5292,https://gatespres.org/,Supporter,Statewide Right to Counsel
Congregation B'nai Yisrael,"335 E 77th St, New York, NY 10075",212-879-1558,https://www.cbyarmonk.org/,Supporter,Statewide Right to Counsel
Upper Room Inclusive Catholic Community,"431 New Karner Rd, Blg 1, Albany, NY 12205",,https://www.upperroomicc.org/,Supporter,Statewide Right to Counsel
Hebrew Institute of White Plains,"20 Greenridge Ave, White Plains, NY 10605",914-948-3095,https://www.hiwp.org/,Supporter,Statewide Right to Counsel
Capital Area Council of Churches,"646 State Street, Albany, NY 12203",518-462-5450,https://www.capareacc.org/,Supporter,Statewide Right to Counsel
New York Disaster Interfaith Services,"4 W 43rd St Suite #407, New York, NY 10036",212-669-6100,https://www.nydis.org/,Supporter,Statewide Right to Counsel
True Vine Ministries COGIC,"11 E Fulton Ave, Roosevelt, NY 11575",516-515-1469,https://www.facebook.com/Truevineministries2013/,Supporter,Statewide Right to Counsel
Presbytery of New York City,"475 Riverside Dr, New York, NY 10115",212-870-2221,https://www.nycpresbytery.org/,Supporter,Statewide Right to Counsel
Asbury First United Methodist Church,"1050 East Ave, Rochester, NY 14607",585-271-1050,https://asburyfirst.org/,Supporter,Statewide Right to Counsel
Wantagh Memorial Congregational Church,"1845 Wantagh Ave, Wantagh, NY 11793",516-785-1829,https://wmcc1845.com/,Supporter,Statewide Right to Counsel
St. David's Episcopal Church,"117-35 235th Street, Cambria Heights, NY 11411",718-528-2095,https://saintdavidsepiscopal.com/,Supporter,Statewide Right to Counsel
St. Timothy Lutheran Church,"3748 NY-430, Bemus Point, NY 14712",716-386-7280,https://www.sttimothybemus.com/,Supporter,Statewide Right to Counsel
The Church of Gethsemane,"1012 8th Ave, Brooklyn, NY 11215",718-499-6704,https://churchofgethsemane.org/,Supporter,Statewide Right to Counsel
Bethlehem Lutheran,"6917 4th Ave, Brooklyn, NY 11209",718-748-9502,https://www.blcdelmar.com/,Supporter,Statewide Right to Counsel
Sisters of St. Joseph of Carondelet,"385 Watervliet-Shaker Road, Latham, NY 12110-4799",518-783-3500,https://csjcarondelet.org/locations/albany/,Supporter,Statewide Right to Counsel
Catskill Hudson District - NY Conference of the United Methodist Church,"20 Soundview Ave - White Plains, NY 10606",914-615-2233,https://www.nyac.com/contact-the-catskill-hudson-district,Supporter,Statewide Right to Counsel
Episcopal Diocese WNY,"1064 Brighton Road, Tonawanda, NY 14150",716-881-0660,https://episcopalpartnership.org/,Supporter,Statewide Right to Counsel
Congregational Church of South Hempstead,"416 Woodland Dr, South Hempstead, NY 11550",516-489-3610,https://www.theccsh.org/,Supporter,Statewide Right to Counsel
Greater Mt. Calvary,"194-59 Murdock Ave, Queens, NY 11412",718-465-8881,https://www.facebook.com/GreaterMtCalvaryNY/,Supporter,Statewide Right to Counsel
RocACTS Religious Leaders Caucus,"121 Fitzhugh Street North, Rochester, NY 14614",585.546-7669,https://www.rochesteracts.org/,Supporter,Statewide Right to Counsel
First Presbyterian Church of Albany,"362 State St, Albany, NY 12210",518-449-7332,https://firstpresalbany.org/,Supporter,Statewide Right to Counsel
Church of the Village (NYC),"201 W 13th St, New York, NY 10011",212-243-5470,https://www.churchofthevillage.org/,Supporter,Statewide Right to Counsel
Westminster Presbyterian Church,"85 Chestnut St, Albany, NY 12210",518-449-7332,https://wpcalbany.org/,Supporter,Statewide Right to Counsel
LIFEhouse Community of Faith,"460 Irving Ave, Brooklyn, NY 11237",,https://www.facebook.com/LifehouseNY/,Supporter,Statewide Right to Counsel
Wakefield Grace United Methodist Church,"4750 White Plains Rd, Bronx, NY 10470",718-324-1648,https://www.nyac.com/churchdetail/270587,Supporter,Statewide Right to Counsel
St. Philip's Episcopal Church,"18 Sussex St, Buffalo, NY 14215",716-833-0442,https://specbuffalo.org/,Supporter,Statewide Right to Counsel
A Philip Randolph Square Neighborhood Alliance,"7th Ave, West 117th Street, St Nicholas Ave, New York, NY 10026",212-639-9675,https://www.facebook.com/APhilipRandolphSquareAlliance/,Endorser,"Winter Eviction Moratorium,Statewide Right to Counsel"
Brooklyn Eviction Defense,"Brooklyn, NY",917-982-2265,https://brooklynevictiondefense.org/en/,Endorser,Winter Eviction Moratorium
Mamaroneck Coalition for Affordable Housing,"Mamaroneck, NY",,https://mcah.squarespace.com/,Endorser,"Winter Eviction Moratorium,Statewide Right to Counsel"
NY Council of Housing Development Fund Companies,"New York, NY",,,Endorser,Winter Eviction Moratorium
Syracuse Democratic Socialists of America,"Syracuse, NY",,https://syracusedsa.org/contact/,Endorser,Winter Eviction Moratorium
Judson Memorial Church,"55 Washington Square S, New York, NY 10012",212-477-0351,https://www.judson.org/,Supporter,Statewide Right to Counsel
Walker Memorial Baptist Church,"120 E 169th St, Bronx, NY 10452",718-588-4262,http://www.walkermemorialbaptistchurch.com/,Supporter,Statewide Right to Counsel
Queensbury United Methodist Church,"460 Aviation Rd, Queensbury, NY 12804",518-793-9728,https://www.umcq.org/,Supporter,Statewide Right to Counsel
St. Paul and St. Andrew United Methodist Church,"263 W 86th St, New York, NY 10024",212-362-3179,https://stpaulandstandrew.org/,Supporter,Statewide Right to Counsel
Sisters of St. Dominic,"496 Western Hwy S, Blauvelt, NY 10913",845-359-5691,,Supporter,Statewide Right to Counsel
Episcopal Diocese of New York,"1047 Amsterdam Ave, New York, NY 10025",,https://dioceseny.org/,Supporter,Statewide Right to Counsel
Fairport United Methodist Church,"31 W Church St, Fairport, NY 14450",585-223-9560,https://fairportumc.org/,Supporter,Statewide Right to Counsel
Fort Tryon Jewish Center,"729 W 181st St, New York, NY 10033",347-618-2450,https://www.ftjc.org/,Supporter,Statewide Right to Counsel
Covenant United Methodist Church,"1124 Culver Road, Rochester, NY 14609",585-456 - 1979,https://www.covenantroc.org/,Supporter,Statewide Right to Counsel
Sanctuary Church,"14 W 170th St, Bronx, NY 10452",,,Supporter,Statewide Right to Counsel
Bethel Lutheran Church,"79 Brooklyn St, Portville, NY 14770",716-933-6699,https://bethelportvilleny.org/,Supporter,Statewide Right to Counsel
New York State Chaplain Task Force,"405 RXR Plaza, Uniondale, NY 11556",718-749-8534,https://www.chaplains.care/,Supporter,Statewide Right to Counsel
Forest Hills Presbyterian Church,"70-35 112th St, Queens, NY 11375",718-268-4036,https://www.presbyfh.org/,Supporter,Statewide Right to Counsel
Prince’s Bay Reformed Church,"239 Seguine Ave, Staten Island, NY 10309",718-984-4526,https://www.princebaycommunitychurch.org/,Supporter,Statewide Right to Counsel
Staten Island Council of Churches,"2024 Richmond Ave, Staten Island, NY 10314",718-761-6782,https://www.facebook.com/SICouncil/,Supporter,Statewide Right to Counsel
